race_id,constructor_id,constructor_position_before_race,constructor_points_before_race,constructor_wins_before_race,constructor_performance_score
2019_21,haas,9,28.0,0,28.0
2019_21,williams,10,1.0,0,1.0
2020_01,mercedes,0,0.0,0,0.0
2020_01,ferrari,0,0.0,0,0.0
2020_01,mclaren,0,0.0,0,0.0
2020_01,racing_point,0,0.0,0,0.0
2020_01,alphatauri,0,0.0,0,0.0
2020_01,renault,0,0.0,0,0.0
2020_01,alfa,0,0.0,0,0.0
2020_01,williams,0,0.0,0,0.0
2020_01,red_bull,0,0.0,0,0.0
2020_01,haas,0,0.0,0,0.0
2020_02,mercedes,1,37.0,1,47.0
2020_02,red_bull,9,0.0,0,0.0
2020_02,mclaren,2,26.0,0,26.0
2020_02,racing_point,4,8.0,0,8.0
2020_02,renault,6,4.0,0,4.0
2020_02,alphatauri,5,6.0,0,6.0
2020_02,alfa,7,2.0,0,2.0
2020_02,haas,8,0.0,0,0.0
2020_02,williams,10,0.0,0,0.0
2020_02,ferrari,3,19.0,0,19.0
2020_03,mercedes,1,80.0,2,100.0
2020_03,red_bull,3,27.0,0,27.0
2020_03,racing_point,4,22.0,0,22.0
2020_03,ferrari,5,19.0,0,19.0
2020_03,renault,6,8.0,0,8.0
2020_03,mclaren,2,39.0,0,39.0
2020_03,haas,9,0.0,0,0.0
2020_03,alphatauri,7,7.0,0,7.0
2020_03,alfa,8,2.0,0,2.0
2020_03,williams,10,0.0,0,0.0
2020_04,mercedes,1,121.0,3,151.0
2020_04,red_bull,2,55.0,0,55.0
2020_04,ferrari,5,27.0,0,27.0
2020_04,renault,6,12.0,0,12.0
2020_04,mclaren,3,41.0,0,41.0
2020_04,alphatauri,7,7.0,0,7.0
2020_04,racing_point,4,40.0,0,40.0
2020_04,williams,10,0.0,0,0.0
2020_04,alfa,8,2.0,0,2.0
2020_04,haas,9,1.0,0,1.0
2020_05,red_bull,2,78.0,0,78.0
2020_05,mercedes,1,146.0,4,186.0
2020_05,ferrari,4,43.0,0,43.0
2020_05,racing_point,5,42.0,0,42.0
2020_05,renault,6,32.0,0,32.0
2020_05,mclaren,3,51.0,0,51.0
2020_05,alphatauri,7,13.0,0,13.0
2020_05,alfa,8,2.0,0,2.0
2020_05,haas,9,1.0,0,1.0
2020_05,williams,10,0.0,0,0.0
2020_06,mercedes,1,180.0,4,220.0
2020_06,red_bull,2,113.0,1,123.0
2020_06,racing_point,3,56.0,0,56.0
2020_06,mclaren,5,53.0,0,53.0
2020_06,ferrari,4,55.0,0,55.0
2020_06,alphatauri,7,14.0,0,14.0
2020_06,renault,6,36.0,0,36.0
2020_06,alfa,8,2.0,0,2.0
2020_06,haas,9,1.0,0,1.0
2020_06,williams,10,0.0,0,0.0
2020_07,mercedes,1,221.0,5,271.0
2020_07,red_bull,2,135.0,1,145.0
2020_07,renault,6,36.0,0,36.0
2020_07,mclaren,4,62.0,0,62.0
2020_07,alphatauri,7,16.0,0,16.0
2020_07,racing_point,3,78.0,0,78.0
2020_07,alfa,8,2.0,0,2.0
2020_07,ferrari,5,61.0,0,61.0
2020_07,haas,9,1.0,0,1.0
2020_07,williams,10,0.0,0,0.0
2020_08,alphatauri,7,20.0,0,20.0
2020_08,mclaren,4,68.0,0,68.0
2020_08,racing_point,3,81.0,0,81.0
2020_08,mercedes,1,264.0,6,324.0
2020_08,renault,6,59.0,0,59.0
2020_08,williams,10,0.0,0,0.0
2020_08,haas,9,1.0,0,1.0
2020_08,alfa,8,2.0,0,2.0
2020_08,red_bull,2,158.0,1,168.0
2020_08,ferrari,5,61.0,0,61.0
2020_09,mercedes,1,281.0,6,341.0
2020_09,red_bull,2,158.0,1,168.0
2020_09,renault,5,71.0,0,71.0
2020_09,racing_point,4,97.0,0,97.0
2020_09,mclaren,3,98.0,0,98.0
2020_09,alphatauri,7,47.0,1,57.0
2020_09,ferrari,6,61.0,0,61.0
2020_09,alfa,8,2.0,0,2.0
2020_09,williams,10,0.0,0,0.0
2020_09,haas,9,1.0,0,1.0
2020_10,mercedes,1,325.0,7,395.0
2020_10,red_bull,2,173.0,1,183.0
2020_10,racing_point,3,107.0,0,107.0
2020_10,renault,5,83.0,0,83.0
2020_10,ferrari,6,66.0,0,66.0
2020_10,alphatauri,7,53.0,1,63.0
2020_10,alfa,8,4.0,0,4.0
2020_10,haas,9,1.0,0,1.0
2020_10,mclaren,4,106.0,0,106.0
2020_10,williams,10,0.0,0,0.0
2020_11,mercedes,1,366.0,8,446.0
2020_11,red_bull,2,192.0,1,202.0
2020_11,renault,5,99.0,0,99.0
2020_11,racing_point,3,119.0,0,119.0
2020_11,mclaren,4,106.0,0,106.0
2020_11,alphatauri,7,59.0,1,69.0
2020_11,ferrari,6,74.0,0,74.0
2020_11,haas,9,1.0,0,1.0
2020_11,alfa,8,4.0,0,4.0
2020_11,williams,10,0.0,0,0.0
2020_12,mercedes,1,391.0,9,481.0
2020_12,red_bull,2,211.0,1,221.0
2020_12,ferrari,6,80.0,0,80.0
2020_12,alphatauri,7,67.0,1,77.0
2020_12,mclaren,4,116.0,0,116.0
2020_12,racing_point,3,135.0,0,135.0
2020_12,renault,5,114.0,0,114.0
2020_12,alfa,8,5.0,0,5.0
2020_12,williams,10,0.0,0,0.0
2020_12,haas,9,3.0,0,3.0
2020_13,mercedes,1,435.0,10,535.0
2020_13,renault,5,120.0,0,120.0
2020_13,alphatauri,7,77.0,1,87.0
2020_13,ferrari,6,93.0,0,93.0
2020_13,racing_point,3,141.0,0,141.0
2020_13,mclaren,4,124.0,0,124.0
2020_13,alfa,8,5.0,0,5.0
2020_13,williams,10,0.0,0,0.0
2020_13,haas,9,3.0,0,3.0
2020_13,red_bull,2,226.0,1,236.0
2020_14,mercedes,1,479.0,11,589.0
2020_14,racing_point,3,149.0,0,149.0
2020_14,ferrari,6,103.0,0,103.0
2020_14,mclaren,5,134.0,0,134.0
2020_14,red_bull,2,226.0,1,236.0
2020_14,renault,4,135.0,0,135.0
2020_14,alphatauri,7,89.0,1,99.0
2020_14,alfa,8,8.0,0,8.0
2020_14,williams,10,0.0,0,0.0
2020_14,haas,9,3.0,0,3.0
2020_15,mercedes,1,504.0,12,624.0
2020_15,red_bull,2,240.0,1,250.0
2020_15,mclaren,4,149.0,0,149.0
2020_15,alphatauri,7,89.0,1,99.0
2020_15,renault,5,136.0,0,136.0
2020_15,ferrari,6,130.0,0,130.0
2020_15,williams,10,0.0,0,0.0
2020_15,alfa,8,8.0,0,8.0
2020_15,haas,9,3.0,0,3.0
2020_15,racing_point,3,169.0,0,169.0
2020_16,racing_point,4,169.0,0,169.0
2020_16,renault,5,144.0,0,144.0
2020_16,mclaren,3,171.0,0,171.0
2020_16,red_bull,2,274.0,1,284.0
2020_16,alphatauri,7,97.0,1,107.0
2020_16,mercedes,1,533.0,13,663.0
2020_16,ferrari,6,131.0,0,131.0
2020_16,alfa,8,8.0,0,8.0
2020_16,haas,9,3.0,0,3.0
2020_16,williams,10,0.0,0,0.0
2020_17,red_bull,2,282.0,1,292.0
2020_17,mercedes,1,540.0,13,670.0
2020_17,mclaren,4,184.0,0,184.0
2020_17,renault,5,172.0,0,172.0
2020_17,alphatauri,7,103.0,1,113.0
2020_17,racing_point,3,209.0,1,219.0
2020_17,alfa,8,8.0,0,8.0
2020_17,ferrari,6,131.0,0,131.0
2020_17,williams,10,0.0,0,0.0
2020_17,haas,9,3.0,0,3.0
2021_01,mercedes,0,0.0,0,0.0
2021_01,red_bull,0,0.0,0,0.0
2021_01,mclaren,0,0.0,0,0.0
2021_01,ferrari,0,0.0,0,0.0
2021_01,alphatauri,0,0.0,0,0.0
2021_01,aston_martin,0,0.0,0,0.0
2021_01,alfa,0,0.0,0,0.0
2021_01,alpine,0,0.0,0,0.0
2021_01,williams,0,0.0,0,0.0
2021_01,haas,0,0.0,0,0.0
2021_02,red_bull,2,28.0,0,28.0
2021_02,mercedes,1,41.0,1,51.0
2021_02,mclaren,3,18.0,0,18.0
2021_02,ferrari,4,12.0,0,12.0
2021_02,alphatauri,5,2.0,0,2.0
2021_02,aston_martin,6,1.0,0,1.0
2021_02,alpine,8,0.0,0,0.0
2021_02,alfa,7,0.0,0,0.0
2021_02,haas,9,0.0,0,0.0
2021_02,williams,10,0.0,0,0.0
2021_03,mercedes,1,60.0,1,70.0
2021_03,red_bull,2,53.0,1,63.0
2021_03,mclaren,3,41.0,0,41.0
2021_03,ferrari,4,34.0,0,34.0
2021_03,alpine,7,3.0,0,3.0
2021_03,alphatauri,5,8.0,0,8.0
2021_03,alfa,8,0.0,0,0.0
2021_03,aston_martin,6,5.0,0,5.0
2021_03,williams,10,0.0,0,0.0
2021_03,haas,9,0.0,0,0.0
2021_04,mercedes,1,101.0,2,121.0
2021_04,red_bull,2,83.0,1,93.0
2021_04,ferrari,4,42.0,0,42.0
2021_04,mclaren,3,53.0,0,53.0
2021_04,alpine,5,13.0,0,13.0
2021_04,alphatauri,6,9.0,0,9.0
2021_04,aston_martin,7,5.0,0,5.0
2021_04,alfa,8,0.0,0,0.0
2021_04,williams,10,0.0,0,0.0
2021_04,haas,9,0.0,0,0.0
2021_05,red_bull,2,112.0,1,122.0
2021_05,ferrari,4,60.0,0,60.0
2021_05,mclaren,3,65.0,0,65.0
2021_05,aston_martin,7,5.0,0,5.0
2021_05,alphatauri,6,10.0,0,10.0
2021_05,mercedes,1,141.0,3,171.0
2021_05,alpine,5,15.0,0,15.0
